Date,Price,Open,High,Low,Vol.,Change %
04/23/2015,57.74,56.28,58.41,55.76,415.57K,2.81%
04/22/2015,56.16,56.34,57.19,55.73,329.63K,1.63%
04/21/2015,55.26,56.41,56.91,55.01,29.60K,-1.99%
04/20/2015,56.38,56.16,57.17,54.85,112.38K,1.15%
04/17/2015,55.74,56.56,56.88,55.31,230.62K,-1.71%
04/16/2015,56.71,55.92,57.42,55.07,413.13K,0.57%
04/15/2015,56.39,53.55,56.69,53.39,508.90K,5.82%
04/14/2015,53.29,52.05,53.79,51.83,431.03K,2.66%
04/13/2015,51.91,51.81,53.10,51.47,375.53K,0.52%
04/10/2015,51.64,50.73,51.93,50.08,395.14K,1.67%
04/09/2015,50.79,51.00,52.07,50.51,449.53K,0.73%
04/08/2015,50.42,53.18,53.23,50.37,552.63K,-6.60%
04/07/2015,53.98,51.95,54.13,51.17,548.87K,3.53%
04/06/2015,52.14,49.47,52.24,49.47,325.28K,6.11%
04/03/2015,49.14,49.14,49.14,49.14,,0.00%
04/02/2015,49.14,49.59,50.27,48.11,453.39K,-1.90%
04/01/2015,50.09,47.55,50.45,47.05,451.10K,5.23%
03/31/2015,47.60,48.73,48.73,47.28,365.75K,-2.22%
03/30/2015,48.68,48.57,49.16,47.61,355.87K,-0.39%
03/27/2015,48.87,51.01,51.38,48.21,384.09K,-4.98%
03/26/2015,51.43,49.02,52.48,48.73,515.28K,4.51%
03/25/2015,49.21,47.72,49.46,47.00,398.80K,3.58%
03/24/2015,47.51,47.46,48.56,46.67,309.55K,0.13%
03/23/2015,47.45,46.41,47.61,45.33,292.42K,3.78%
03/20/2015,45.72,43.99,46.53,43.31,22.46K,4.00%
03/19/2015,43.96,44.60,44.71,42.75,106.91K,-1.57%
03/18/2015,44.66,42.51,45.34,42.03,220.64K,2.76%
03/17/2015,43.46,43.84,44.20,42.41,346.31K,-0.96%
03/16/2015,43.88,44.81,45.00,42.85,367.60K,-2.14%
03/13/2015,44.84,46.93,47.28,44.75,395.72K,-4.70%
03/12/2015,47.05,48.44,48.76,46.86,358.38K,-2.33%
03/11/2015,48.17,48.77,49.05,47.33,404.59K,-0.25%
03/10/2015,48.29,50.08,50.36,48.20,395.76K,-3.42%
03/09/2015,50.00,49.60,50.79,49.25,409.88K,0.79%
03/06/2015,49.61,50.89,51.22,48.88,406.84K,-2.27%
03/05/2015,50.76,51.62,52.40,50.61,370.95K,-1.49%
03/04/2015,51.53,50.61,51.99,49.60,463.99K,2.00%
03/03/2015,50.52,49.80,50.83,49.45,370.60K,1.88%
03/02/2015,49.59,49.45,51.04,48.71,427.18K,-0.34%
02/27/2015,49.76,48.97,49.94,48.46,399.49K,3.30%
02/26/2015,48.17,51.00,51.22,47.80,459.58K,-5.53%
02/25/2015,50.99,49.16,51.28,48.43,429.52K,3.47%
02/24/2015,49.28,49.42,50.33,48.68,293.10K,-0.34%
02/23/2015,49.45,50.75,50.99,48.67,475.38K,-1.77%
02/20/2015,50.34,51.24,51.85,49.91,30.66K,-1.60%
02/19/2015,51.16,50.55,52.14,49.15,125.21K,-1.88%
02/18/2015,52.14,53.24,53.41,50.32,257.48K,-2.60%
02/17/2015,53.53,52.75,54.15,50.81,518.80K,-0.15%
02/16/2015,53.61,54.04,54.08,52.92,,-0.82%
02/15/2015,54.06,53.75,54.42,53.71,,2.42%
02/13/2015,52.78,51.35,53.43,51.03,437.07K,3.07%
02/12/2015,51.21,49.42,51.60,49.14,563.66K,4.85%
02/11/2015,48.84,50.98,51.14,48.05,519.27K,-2.36%
02/10/2015,50.02,52.43,52.65,49.86,501.70K,-5.37%
02/09/2015,52.86,52.01,53.99,51.65,536.36K,2.26%
02/06/2015,51.69,50.86,53.16,50.72,584.98K,2.40%
02/05/2015,50.48,48.67,52.10,47.36,596.85K,4.19%
02/04/2015,48.45,51.67,52.56,47.95,577.52K,-8.67%
02/03/2015,53.05,49.79,54.24,49.69,644.92K,7.02%
02/02/2015,49.57,47.59,50.56,46.67,511.41K,2.76%
01/30/2015,48.24,44.63,48.35,44.31,454.14K,8.33%
01/29/2015,44.53,44.43,44.96,43.58,300.73K,0.18%
01/28/2015,44.45,45.83,45.83,44.08,365.44K,-3.85%
01/27/2015,46.23,45.13,46.55,44.81,313.14K,2.39%
01/26/2015,45.15,45.20,46.41,44.35,310.64K,-0.97%
01/23/2015,45.59,46.63,47.76,45.21,374.29K,-1.55%
01/22/2015,46.31,47.35,49.09,45.87,426.83K,-3.08%
01/21/2015,47.78,46.69,48.20,46.55,340.25K,3.00%
01/20/2015,46.39,48.69,48.77,45.89,49.74K,-2.91%
01/19/2015,47.78,48.84,49.19,47.64,,-2.18%
01/18/2015,48.85,48.95,49.06,48.78,,0.32%
01/16/2015,48.69,46.35,48.87,45.95,175.63K,5.28%
01/15/2015,46.25,48.60,51.27,46.07,478.34K,-4.60%
01/14/2015,48.48,46.16,48.91,45.01,510.25K,5.64%
01/13/2015,45.89,45.69,46.79,44.20,476.54K,-0.39%
01/12/2015,46.07,48.19,48.19,45.62,394.95K,-4.74%
01/09/2015,48.36,48.92,49.61,47.16,421.01K,-0.88%
01/08/2015,48.79,48.78,49.65,47.73,362.08K,0.29%
01/07/2015,48.65,48.00,49.31,46.83,460.08K,1.50%
01/06/2015,47.93,50.00,50.37,47.55,451.64K,-4.22%
01/05/2015,50.04,52.61,52.73,49.68,375.78K,-5.03%
01/02/2015,52.69,53.76,55.11,52.03,268.71K,-3.44%
01/01/2015,54.56,53.73,54.85,53.72,,2.43%
12/31/2014,53.27,53.87,54.02,52.44,233.52K,-1.57%
12/30/2014,54.12,53.72,54.32,52.70,218.56K,0.95%
12/29/2014,53.61,55.05,55.74,52.90,241.38K,-2.05%
12/26/2014,54.73,55.86,56.59,54.51,127.20K,-2.13%
12/25/2014,55.92,55.87,56.05,55.73,,0.14%
12/24/2014,55.84,56.80,57.15,55.07,174.97K,-2.24%
12/23/2014,57.12,55.39,57.56,55.06,274.00K,3.37%
12/22/2014,55.26,57.75,58.53,55.13,277.32K,-2.23%
12/19/2014,56.52,55.50,56.91,54.20,26.47K,4.45%
12/18/2014,54.11,55.83,58.73,54.05,106.32K,-4.18%
12/17/2014,56.47,55.50,58.98,54.21,351.98K,0.97%
12/16/2014,55.93,55.40,57.15,53.60,518.78K,0.04%
12/15/2014,55.91,57.07,58.73,55.02,424.95K,-3.29%
12/12/2014,57.81,59.17,59.57,57.34,414.22K,-3.57%
12/11/2014,59.95,61.12,61.68,58.96,392.49K,-1.62%
12/10/2014,60.94,63.33,63.43,60.43,456.17K,-4.51%
12/09/2014,63.82,63.01,64.20,62.25,322.80K,1.22%
12/08/2014,63.05,65.46,65.55,62.78,330.08K,-4.24%
12/05/2014,65.84,66.80,66.89,65.17,276.53K,-1.45%
12/04/2014,66.81,67.40,68.22,66.09,237.01K,-0.85%
12/03/2014,67.38,67.60,68.23,66.80,293.48K,0.75%
12/02/2014,66.88,69.24,69.32,66.67,360.30K,-3.07%
12/01/2014,69.00,66.00,69.54,63.72,504.12K,4.31%
11/28/2014,66.15,73.50,73.56,65.69,552.88K,-3.50%
11/27/2014,68.55,73.54,73.55,67.77,,-6.98%
11/26/2014,73.69,73.87,74.48,73.30,258.38K,-0.54%
11/25/2014,74.09,75.51,76.58,73.71,294.45K,-2.23%
11/24/2014,75.78,76.62,77.02,75.45,194.75K,-0.95%
11/21/2014,76.51,76.29,77.83,75.62,275.32K,1.23%
11/20/2014,75.58,74.25,75.76,74.17,28.25K,1.34%
11/19/2014,74.58,74.23,75.40,73.88,116.28K,-0.04%
11/18/2014,74.61,75.49,76.44,74.12,186.21K,-1.36%
11/17/2014,75.64,75.93,76.18,74.71,279.46K,-0.24%
11/14/2014,75.82,74.36,76.30,73.25,355.25K,2.17%
11/13/2014,74.21,76.95,77.16,74.07,447.01K,-3.85%
11/12/2014,77.18,77.50,78.08,76.63,359.95K,-0.98%
11/11/2014,77.94,77.18,78.04,76.42,314.31K,0.70%
11/10/2014,77.40,78.50,79.85,77.13,319.49K,-1.59%
